ObjectNumber,Ed_cell_mean_value,Ed_cell_variance,Ed_agg_mean_value,Ed_agg_max_value,Ed_agg_min_value,Ed_agg_top_50_value,Ed_agg_top_25_value,Metadata_cell,Metadata_hour,Metadata_treatment,Metadata_site
2,0.0069478736259043,0.0003745747380889,0.023404741659760475,0.057014934718608856,0.0002704065991565585,0.03478803485631943,0.04152292013168335,H1975,4.0,Osimertinib,15
1,0.0810611769556999,0.002977387746796,0.0664018839597702,0.18236441910266876,0.0013710984494537115,0.09306447207927704,0.11064394563436508,H1975,4.0,Osimertinib,16
2,0.0552268959581851,0.0041184043511748,0.03621126711368561,0.09880397468805313,5.203559703659266e-05,0.056474726647138596,0.07214348018169403,H1975,4.0,Osimertinib,16
3,0.0810969397425651,0.0047649363987147,0.0507204644382,0.19022426009178162,1.3802734429191332e-05,0.07853206247091293,0.09845772385597229,H1975,4.0,Osimertinib,16
1,0.0815314128994941,0.001046712975949,0.0660424530506134,0.1106748953461647,0.016693422570824623,0.08051444590091705,0.09018202871084213,H1975,4.0,Osimertinib,17
1,0.0246541872620582,0.0028496680315583,0.0,0.0,0.0,0.0,0.0,H1975,4.0,Osimertinib,2
2,0.0456638410687446,0.0040102512575685,0.04514548182487488,0.15979616343975067,0.00024343185941688716,0.07032368332147598,0.09017986804246902,H1975,4.0,Osimertinib,2
3,0.0615855008363723,0.0041682831943035,0.03831098601222038,0.10011932998895645,0.0003945572825614363,0.05634326860308647,0.07034512609243393,H1975,4.0,Osimertinib,2
1,0.0540543980896472,0.0007678317488171,0.033443957567214966,0.0819176509976387,0.00014373437443282455,0.045875269919633865,0.05406568571925163,H1975,4.0,Osimertinib,3
1,0.1578977257013321,0.007994320243597,0.11367498338222504,0.28396254777908325,0.0024451471399515867,0.15023943781852722,0.17835615575313568,H1975,4.0,Osimertinib,4
2,0.0436641573905944,0.0057617258280515,0.12075895816087723,0.30822673439979553,0.004534611944109201,0.1698736995458603,0.1994592249393463,H1975,4.0,Osimertinib,4
1,0.0644667223095893,0.002233502222225,0.06529617309570312,0.10308703780174255,0.024083038792014122,0.07776811718940735,0.08530904352664948,H1975,4.0,Osimertinib,5
2,0.0002168422797694,2.869018862838857e-05,0.0,0.0,0.0,0.0,0.0,H1975,4.0,Osimertinib,5
3,0.0782925635576248,0.0037166657857596,0.04152059927582741,0.09019682556390762,0.0005568559281527996,0.057614680379629135,0.06625355780124664,H1975,4.0,Osimertinib,5
4,0.0010197767987847,0.000150077525177,0.043097998946905136,0.04543134197592735,0.04076465591788292,0.04543134197592735,0.04543134197592735,H1975,4.0,Osimertinib,5
5,0.085140936076641,0.0021460563875734,0.08643043786287308,0.15122829377651215,0.013490363024175167,0.10276619344949722,0.11237549781799316,H1975,4.0,Osimertinib,5
1,0.0606469400227069,0.0008942520362325,0.047232430428266525,0.11488934606313705,0.0027831068728119135,0.06288789957761765,0.07404439896345139,H1975,4.0,Osimertinib,6
2,0.0737699940800666,0.0036518340930342,0.037730373442173004,0.13176169991493225,0.0010045040398836136,0.05861600860953331,0.07503319531679153,H1975,4.0,Osimertinib,6
1,0.0311946775764226,0.0017158179543912,0.03160154074430466,0.1163804680109024,6.1485384321713354e-06,0.04995046555995941,0.0647868737578392,H1975,4.0,Osimertinib,7
2,7.842743798391894e-05,1.3308943380252458e-05,0.0,0.0,0.0,0.0,0.0,H1975,4.0,Osimertinib,7
3,0.0062162079848349,0.0002864623675122,0.018724659457802773,0.047891341149806976,0.0004709847562480718,0.02961086481809616,0.03655931353569031,H1975,4.0,Osimertinib,7
1,0.0418737865984439,0.0009887153282761,0.038057006895542145,0.093389593064785,0.0004306342452764511,0.054145123809576035,0.06558659672737122,H1975,4.0,Osimertinib,8
2,0.1087879389524459,0.011064882390201,0.10606469213962555,0.22845368087291718,0.0010764360195025802,0.14825646579265594,0.1772291213274002,H1975,4.0,Osimertinib,8
1,0.0573514401912689,0.0009538807789795,0.03349160775542259,0.07916467636823654,0.001191906165331602,0.046342987567186356,0.05443707853555679,H1975,4.0,Osimertinib,9
2,0.0703262686729431,0.0032138410024344,0.03220207244157791,0.08671500533819199,8.493670611642301e-05,0.04882329702377319,0.05905577912926674,H1975,4.0,Osimertinib,9
